# BJ dispersion parameters — layer-averaged (z_tol = 0.20 Ang)
# Element      N    z_avg(Ang)    ALPHAscs_avg     C6_D3_avg
#------------------------------------------------------------
  O            4      0.000000          4.6230       10.5000
  Ir           8      1.226200         30.3319      305.5000
  O            8      1.226200          4.2700       10.4000
  O            4      2.452410          3.9030       10.4000
  O            4      3.199220          3.6180       10.4000
  Ir           8      4.425420         29.8930      305.5000
  O            8      4.425420          4.0030       10.4000
  O            4      5.651630          3.9840       10.4000
  O            4      6.410090          3.9980       10.4000
  O            8      7.627050          3.9980       10.4000
  Ir           8      7.637590         30.0096      305.5000
  O            4      8.859310          4.0100       10.4000
  O            4      9.607880          3.9950       10.4000
  O            8     10.821250          4.0840       10.4000
  Ir           8     10.853140         29.2672      305.5000
  O            4     12.030910          4.4280       10.4000
  O            4     12.788470          4.6480       10.4000
  H            4     13.169920          2.1510        3.1000
