reference,species_name,status,frequencies
Ara,CO2,gas,"[187.1011979905889, 187.62471159405902, 649.6814921172621, 651.2520437675124, 1339.3367542566375, 2365.1350704049096]"
Ara,CH4,gas,"[54.65811394834241, 71.6372154480809, 85.06283160737877, 1327.3054904290536, 1328.4584700514204, 1330.725557378928, 1546.1307637645953, 1546.4533780416284, 2979.8141033611164, 3111.764502893397, 3113.058224727733, 3116.85996923169]"
Ara,C2H4,gas,"[49.41703231529869, 70.78991483142337, 820.0492350455348, 956.4753233034468, 958.5448673384166, 1050.9066621859229, 1226.315241624117, 1317.362892392438, 1464.0581175413233, 1671.0913540164495, 3104.9526507638507, 3122.0929821438303, 3180.899436849776, 3205.8969152536274]"
Ara,H2,gas,"[6.609732955609958, 7.412936415532567, 4446.039345148636]"
Ara,H2O,gas,"[22.43683850004124, 27.718975767750454, 75.56705373169147, 1614.4317958176293, 3736.912140852198, 3847.907685997248]"
Ara,CO,gas,"[32.93438874898954, 48.6634935472618, 2150.493326661877]"
Ara,CH3OH,gas,"[60.169396972556065, 90.96244559810665, 299.53192668342996, 969.8747486422566, 1066.1108726328735, 1151.1086828165053, 1355.1437359492088, 1453.6632338649886, 1479.971783766138, 1492.383086779594, 2926.3024941171907, 3014.9784547818863, 3093.6944973008594, 3758.187291134765]"
Ara,HCOOH,gas,"[43.72567741299433, 64.68486112690252, 104.909261444243, 632.6407482270284, 675.3854520913451, 1019.7383982191781, 1089.3353610708702, 1279.444640412234, 1378.1782681275033, 1773.144654523929, 3018.413119536722, 3650.593736371482]"
Ara,C2H6,gas,"[14.02741592824648, 46.12211049200124, 278.28472014881703, 814.1428343728661, 821.2647726312929, 975.7250968481486, 1207.9799064241513, 1210.6634076070739, 1396.9315714843456, 1405.3763407101521, 1486.4379540679747, 1486.959826467517, 1491.4110115215028, 1491.7810418136148, 2988.944795737229, 3016.0234097857488, 3052.565897101815, 3053.319103305461, 3077.318961713155, 3079.376950422087]"
Ara,C3H8,gas,"[22.377130498493248, 46.74568802571033, 55.886179504066575, 233.42695596717985, 282.1026294541341, 371.579199100026, 750.136190308859, 852.6825115624837, 908.6768051055486, 925.0140971042673, 1041.932610344778, 1164.7649427100168, 1201.4077877004033, 1301.3044588085736, 1350.4817494309682, 1384.546612009659, 1411.2806043977243, 1475.9059648376679, 1478.0169970281154, 1483.3844099218168, 1494.1872551898327, 1499.062726694757, 2960.038095940023, 2994.9032536807013, 3008.1266960489875, 3012.164925206296, 3052.7949445902245, 3063.7677407427827, 3070.209385305845, 3073.230054020187]"
Ara,HCOO,gas,"[102.51898004329742, 107.51092416317833, 137.06242819806522, 672.0718119936499, 831.2927319120527, 949.781616809054, 1201.1621022751415, 1686.1144226183583, 2487.2406731809397]"
PengRole2020,CH4,gas,"[6.7, 38.8, 122.4, 1314.5, 1326.3, 1338.3, 1538.4, 1538.9, 2997.8, 3100.2, 3132.2, 3138]"
PengRole2020,CO,gas,"[30, 36.9, 2149.4]"
PengRole2020,H2,gas,"[0.8, 1.1, 4426.3]"
PengRole2020,C2H4,gas,"[50, 789.3, 900.5, 956.4, 1036.7, 1216.5, 1385.6, 1467.8, 1655.6, 3130.7, 3145.6, 3176.5, 3211]"
PengRole2020,H2O,gas,"[293.1, 345.1, 1635.1, 3736.7, 3832.6]"
PengRole2020,C,ads,"[263.5, 578.6, 579.2]"
PengRole2020,H,ads,"[459.5, 563, 995.3]"
PengRole2020,CO,ads,"[2040, 306.9, 268.2, 261.1, 99.7, 68.7]"
PengRole2020,COH,ads,"[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]"
PengRole2020,CCO,ads,"[249.5, 308.4, 312.4, 588.2, 588.9, 1211.2, 2106.8]"
PengRole2020,CH,ads,"[379, 380, 503.1, 599.3, 599.4, 3065.5]"
PengRole2020,OH,ads,"[35.4, 126.8, 307.9, 511.8, 534, 3660.9]"
PengRole2020,CH3,ads,"[95.8, 103.5, 226, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]"
PengRole2020,CH2,ads,"[152, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008]"
PengRole2020,CHO,ads,"[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]"
PengRole2020,OCCH,ads,[]
PengRole2020,OCCO,ads,"[161.3, 176.3, 203.4, 260.2, 323.5, 336.3, 358.5, 540.2, 654.6, 808.5, 1375.4, 1594.3]"
PengRole2020,CHOH,ads,"[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400, 328, 216.2, 208.9, 152.2, 63.3]"
PengRole2020,OCCOH,ads,"[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881, 1029.9, 1292.6, 1348.3, 3415.8]"
PengRole2020,H2-ele,ads,"[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]"
PengRole2020,CH3-H,ads,"[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]"
PengRole2020,CH2-CH2,ads,"[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]"
PengRole2020,H-CO-ele,ads,"[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]"
PengRole2020,CH3-H-ele,ads,"[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]"
PengRole2020,CH2-H-ele,ads,"[46.5, 308.1, 419.3, 735.8, 802.0, 1089.5, 1293.9, 1348.6, 1410.3, 2859.7, 2941.2]"
PengRole2020,CH-H-ele,ads,"[349.9, 377.4, 419.9, 630.3, 959.1, 1138.9, 1305.0, 2669.1]"
PengRole2020,CHO-H-ele,ads,"[41.4, 167.0, 224.5, 325.3, 401.5, 535.3, 1138.0, 1267.6, 2831.8]"
PengRole2020,H-H,ads,"[129.1, 218.3, 426.7, 4083.2]"
PengRole2020,H-ele,ads,"[902.6, 1205.4, 1784.9]"
PengRole2020,CH2-H,ads,"[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]"
PengRole2020,CH-H,ads,"[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]"
PengRole2020,CHOH-H-ele,ads,"[186.2, 272.7, 334.1, 411.3, 577.9, 634.1, 762.5, 1112.7, 1200.0, 1253.5, 1589.9, 1808.8, 2989.2, 3316.7]"
PengRole2020,COH-H,ads,"[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]"
PengRole2020,COH-H-ele,ads,"[62.8, 228.7, 312.3, 456.3, 467.9, 616.1, 881.0, 1068.8, 1581.3, 2291.2, 3505.4]"
PengRole2020,OC-CH,ads,"[113.7, 246.1, 283.6, 327.0, 366.8, 470.1, 619.1, 941.1, 1841.5, 2969.2]"
PengRole2020,C-H,ads,"[263.5, 509.8, 536.5, 789.7, 944.9]"
PengRole2020,CO-H-ele,ads,"[13.5, 64.4, 253.4, 318.7, 405.4, 1092.8, 1178.2, 1289.3, 1420.0]"
PengRole2020,C-CO,ads,"[105.8, 160.1, 275.9, 489.6, 494.6, 1955.6]"
PengRole2020,OCCO-H-ele,ads,"[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]"
PengRole2020,OC-C,ads,"[22.8, 224.1, 290.0, 392.4, 442.5, 517.4, 1902.5]"
PengRole2020,OCC-H-ele,ads,"[4.5, 161.9, 254.5, 279.2, 515.6, 540.5, 568.4, 1035.7, 1170.2, 2074.6, 3118.0]"
PengRole2020,H-CO,ads,"[240.6, 304.3, 478.0, 1360.2, 1913.8]"
PengRole2020,C-H-ele,ads,"[456.1, 505.5, 567.0, 1008.0, 1223.1]"
PengRole2020,OCC,ads,"[249.5, 308.4, 312.4, 588.2, 588.9, 1211.2, 2106.8]"
Ara,COOH,ads,"[50.05685760447358, 168.75377939707457, 212.4799148320516, 281.7712648709612, 300.6749988890594, 371.1931219214402, 647.6675447247027, 676.7999853196307, 1073.0920558869273, 1253.3287776635334, 1489.1216788541221, 3516.7890727847584]"
Ara,HCOO,ads,"[115.45977391462726, 140.4502755771889, 263.7642243126667, 297.9825189557745, 349.94217517421, 744.5409669753979, 1006.7874923274447, 1317.388460275174, 1351.9343041574618, 1520.1395468391418, 2979.345434024833]"
